code;namefr;name;etablissement
11;ARABE;اللغة العربية;_demoCollege_
12;FRANCAIS;اللغة الفرنسية;_demoCollege_
13;ANGLAIS;اللغة الإنجليزية;_demoCollege_
18;HISTOIRE GEOGRAPHIE;الاجتماعيات;_demoCollege_
19;MATHEMATIQUES;الرياضيات;_demoCollege_
20;SCIENCES DE LA VIE ET DE LA TERRE;علوم الحياة والأرض;_demoCollege_
23;PHYSIQUE CHIMIE;الفيزياء والكيمياء;_demoCollege_
24;EDUCATION ISLAMIQUE;التربية الإسلامية;_demoCollege_
26;EDUCATION PHYSIQUE;التربية البدنية;_demoCollege_
30;INFORMATIQUE;المعلوميات;_demoCollege_
0;sans;sans;_demoCollege_
